rel_path,size_mb,h5py_open,is_symlink,error,total_items,has_posterior,has_ringdown,has_strain
fti\fti\S240925n_wide_cal\fti_dchi7NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchi7NS\posterior_samples.h5,0,False,False,False
fti\fti\S240925n_wide_cal\fti_dchiMinus2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_wide_cal\fti_dchiMinus2\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchi0.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchi0\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchi1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchi1\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchi2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchi2\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchi3NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchi3NS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchi4NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchi4NS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchi5lNS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchi5lNS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchi6l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchi6l\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchi6NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchi6NS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchi7NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchi7NS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_no_cal\fti_dchiMinus2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_no_cal\fti_dchiMinus2\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchi0.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi0\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchi1.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi1\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchi2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi2\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchi3NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi3NS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchi4NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi4NS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchi5lNS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi5lNS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchi6l.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi6l\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchi6NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi6NS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchi7NS.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi7NS\posterior_samples.h5,0,False,False,False
fti\fti\S250207bg_wide_cal\fti_dchiMinus2.h5,0,False,True,Symlink: \home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchiMinus2\posterior_samples.h5,0,False,False,False
pca\pca\pca_fti_GW250207_115645_C00_none_dchi_3NS_dchi_4NS_dchi_5lNS_dchi_6NS_dchi_6l_dchi_7NS.h5,39.85,True,False,,629,False,False,True
pca\pca\pca_fti_GW250207_115645_C00_wide_dchi_3NS_dchi_4NS_dchi_5lNS_dchi_6NS_dchi_6l_dchi_7NS.h5,95.75,True,False,,816,False,False,True
pca\pca\pca_tiger_GW240925_005809_C00_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,78.83,True,False,,764,False,False,True
pca\pca\pca_tiger_GW240925_005809_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,25.22,True,False,,577,False,False,True
pca\pca\pca_tiger_GW240925_005809_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,98.21,True,False,,764,False,False,True
