full_path,relative_path,entry_type,link_target,h5py_open_ok,h5py_error,top_level_groups,object_count,dataset_count,group_count,classification,basename_matches_elsewhere,resolved_target_path,notes
E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW240925_005809_C00_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,pca\pca\pca_tiger_GW240925_005809_C00_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,regular_file,,True,,IMRPhenomXPHM-tiger-6p-prod1_data0_1411261107-9842608_analysis_H1L1V1_merge;history;version,764,736,28,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW240925_005809_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,pca\pca\pca_tiger_GW240925_005809_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,regular_file,,True,,IMRPhenomXPHM-tiger-6p-prod1_data0_1411261107-9842608_analysis_H1L1V1_merge;history;version,577,550,27,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW240925_005809_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,pca\pca\pca_tiger_GW240925_005809_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,regular_file,,True,,IMRPhenomXPHM-tiger-6p-prod1_data0_1411261107-9842608_analysis_H1L1V1_merge;history;version,764,736,28,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW240925_005809_C01_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,pca\pca\pca_tiger_GW240925_005809_C01_envelope_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,regular_file,,True,,IMRPhenomXPHM-tiger-6p-prod1_data0_1411261107-9842608_analysis_H1L1V1_merge;history;version,764,736,28,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW250207_115645_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,pca\pca\pca_tiger_GW250207_115645_C00_none_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,regular_file,,True,,IMRPhenomXPHM-tiger-6p-prod1_data0_1422964623-2584229_analysis_H1L1V1_merge;history;version,577,550,27,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pca\pca\pca_tiger_GW250207_115645_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,pca\pca\pca_tiger_GW250207_115645_C00_wide_dchi_3_dchi_4_dchi_5l_dchi_6_dchi_6l_dchi_7.h5,regular_file,,True,,IMRPhenomXPHM-tiger-6p-prod1_data0_1422964623-2584229_analysis_H1L1V1_merge;history;version,764,736,28,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pseobnr\pseobnr\22_44_NoCal.hdf5,pseobnr\pseobnr\22_44_NoCal.hdf5,regular_file,,True,,__module__;__name__;constraint_parameter_keys;fixed_parameter_keys;information_gain;injection_parameters;label;log_bayes_factor;log_evidence;log_evidence_err;log_likelihood_evaluations;log_noise_evidence;log_prior_evaluations;meta_data;num_likelihood_evaluations;outdir;parameter_labels;parameter_labels_with_unit;posterior;priors,379,364,15,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pseobnr\pseobnr\22_44_WideCal.hdf5,pseobnr\pseobnr\22_44_WideCal.hdf5,regular_file,,True,,__module__;__name__;constraint_parameter_keys;fixed_parameter_keys;information_gain;injection_parameters;label;log_bayes_factor;log_evidence;log_evidence_err;log_likelihood_evaluations;log_noise_evidence;log_prior_evaluations;meta_data;num_likelihood_evaluations;outdir;parameter_labels;parameter_labels_with_unit;posterior;priors,469,454,15,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pseobnr\pseobnr\22_NoCal.hdf5,pseobnr\pseobnr\22_NoCal.hdf5,regular_file,,True,,__module__;__name__;constraint_parameter_keys;fixed_parameter_keys;information_gain;injection_parameters;label;log_bayes_factor;log_evidence;log_evidence_err;log_likelihood_evaluations;log_noise_evidence;log_prior_evaluations;meta_data;num_likelihood_evaluations;outdir;parameter_labels;parameter_labels_with_unit;posterior;priors,379,364,15,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pseobnr\pseobnr\22_NoCal_ftau.h5,pseobnr\pseobnr\22_NoCal_ftau.h5,regular_file,,True,,f220;tau220,2,2,0,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pseobnr\pseobnr\22_WideCal.hdf5,pseobnr\pseobnr\22_WideCal.hdf5,regular_file,,True,,__module__;__name__;constraint_parameter_keys;fixed_parameter_keys;information_gain;injection_parameters;label;log_bayes_factor;log_evidence;log_evidence_err;log_likelihood_evaluations;log_noise_evidence;log_prior_evaluations;meta_data;num_likelihood_evaluations;outdir;parameter_labels;parameter_labels_with_unit;posterior;priors,469,454,15,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\pseobnr\pseobnr\22_WideCal_ftau.h5,pseobnr\pseobnr\22_WideCal_ftau.h5,regular_file,,True,,f220;tau220,2,2,0,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\qnmrf\qnmrf\QNMRF_GW250207_Hanford_220_t=8.0M.h5,qnmrf\qnmrf\QNMRF_GW250207_Hanford_220_t=8.0M.h5,regular_file,,True,,likelihood_data,1,1,0,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\qnmrf\qnmrf\QNMRF_GW250207_Livingston_220_t=8.0M.h5,qnmrf\qnmrf\QNMRF_GW250207_Livingston_220_t=8.0M.h5,regular_file,,True,,likelihood_data,1,1,0,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\ringdown\ringdown\rd_GW250207_Kerr220_8M_singleIFO_prod_2048Hz_evol_20Ksamps.hdf5,ringdown\ringdown\rd_GW250207_Kerr220_8M_singleIFO_prod_2048Hz_evol_20Ksamps.hdf5,regular_file,,True,,H1_only;L1_only,10,8,2,REAL_HDF5_OK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\tiger\tiger\GW240925_cal\tiger_GW240925_db_1.h5,tiger\tiger\GW240925_cal\tiger_GW240925_db_1.h5,symlink,\home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\db_1\samples\tiger_GW240925_db_1.h5,False,,,0,0,0,SYMLINK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\tiger\tiger\GW240925_cal\tiger_GW240925_db_2.h5,tiger\tiger\GW240925_cal\tiger_GW240925_db_2.h5,symlink,\home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\db_2\samples\tiger_GW240925_db_2.h5,False,,,0,0,0,SYMLINK,,,
E:\clone\ligo-gw240925-gw250207-release\18600070\tiger\tiger\GW240925_cal\tiger_GW240925_db_3.h5,tiger\tiger\GW240925_cal\tiger_GW240925_db_3.h5,symlink,\home\tgr.o4\GW240925_GW250207\TIGER\GW240925_cal\db_3\samples\tiger_GW240925_db_3.h5,False,,,0,0,0,SYMLINK,,,
