FullName,Exists,Length,Attributes,LinkType,Target,can_open,open_error,classification,archive_source
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchi7NS\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S250207bg_wide_cal\fti_dchiMinus2\posterior_samples.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,213750734,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,509585056,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,289345875,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,53995910,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,128708079,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,70508053,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,41790405,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,100406361,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,82663984,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,26446248,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,102977169,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,87775728,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,42201960,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,112028560,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,17809352,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,42334240,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,17333456,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,326144,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,41572480,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,326144,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,1000288,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,1000288,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
