source_path,source_archive,target_path,target_basename,classification,resolution_details,target_in_release
fti/S240925n_no_cal/fti_dchi0.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_no_cal/fti_dchi0-1/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_no_cal/fti_dchi2.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_no_cal/fti_dchi2/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S240925n_no_cal/fti_dchi6l.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S240925n_no_cal/fti_dchi6l/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchi5lNS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchi5lNS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchi6NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchi6NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchi3NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchi3NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchi7NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchi7NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchi6l.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchi6l/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchi1.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchi1/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchi0.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchi0/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchiMinus2.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchiMinus2/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchi2.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchi2/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
fti/S250207bg_wide_cal/fti_dchi4NS.h5,fti.tar.gz,/home/tgr.o4/GW240925_GW250207/FTI/asimov/results/S250207bg_wide_cal/fti_dchi4NS/posterior_samples.h5,posterior_samples.h5,TARGET_NOT_IN_RELEASE,Absolute external path: /home/tgr.o4/GW240925_GW250207/FTI/asimov/results/...,NO
tiger/GW240925_no_cal/tiger_GW240925_dchi_3.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_3//samples/tiger_GW240925_dchi_3.h5,tiger_GW240925_dchi_3.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_3.h5, tiger/GW240925_cal/tiger_GW240925_dchi_3.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dchi_minus2.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_minus2//samples/tiger_GW240925_dchi_minus2.h5,tiger_GW240925_dchi_minus2.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_minus2.h5, tiger/GW240925_cal/tiger_GW240925_dchi_minus2.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dchi_2.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_2//samples/tiger_GW240925_dchi_2.h5,tiger_GW240925_dchi_2.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_2.h5, tiger/GW240925_cal/tiger_GW240925_dchi_2.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dchi_0.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_0//samples/tiger_GW240925_dchi_0.h5,tiger_GW240925_dchi_0.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_0.h5, tiger/GW240925_cal/tiger_GW240925_dchi_0.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dchi_1.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_1//samples/tiger_GW240925_dchi_1.h5,tiger_GW240925_dchi_1.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_1.h5, tiger/GW240925_cal/tiger_GW240925_dchi_1.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dchi_4.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_4//samples/tiger_GW240925_dchi_4.h5,tiger_GW240925_dchi_4.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_4.h5, tiger/GW240925_cal/tiger_GW240925_dchi_4.h5",MAYBE
tiger/GW240925_no_cal/tiger_GW240925_dchi_5l.h5,tiger.tar.gz,/home/tgr.o4/GW240925_GW250207/TIGER/GW240925_no_cal/dchi_5l//samples/tiger_GW240925_dchi_5l.h5,tiger_GW240925_dchi_5l.h5,RESOLVED_BASENAME_AMBIGUOUS,"Ambiguous: 2 matches - tiger/GW240925_no_cal/tiger_GW240925_dchi_5l.h5, tiger/GW240925_cal/tiger_GW240925_dchi_5l.h5",MAYBE
