full_path,relative_path,parent,filename,extension,entry_type,size_bytes,size_mb,modified_time,attributes,link_target,link_target_exists,byte_open_ok,byte_open_error,category,notes
E:\clone\ligo-gw240925-gw250207-release\18600070\calibration\calibration\H1_psd_20240924.dat,calibration\calibration\H1_psd_20240924.dat,calibration\calibration,H1_psd_20240924.dat,.dat,regular_file,650940,0.62,2026-05-07T21:40:25,,,,YES,,calibration,
E:\clone\ligo-gw240925-gw250207-release\18600070\cal_env\cal_env,cal_env\cal_env,cal_env,cal_env,,directory,0,0,2026-05-06T16:54:56,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\cal_env\cal_env\S240925n,cal_env\cal_env\S240925n,cal_env\cal_env,S240925n,,directory,0,0,2026-05-06T16:40:45,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\cal_env\cal_env\calibration_uncertainty_H1_tmp_20.txt,cal_env\cal_env\calibration_uncertainty_H1_tmp_20.txt,cal_env\cal_env,calibration_uncertainty_H1_tmp_20.txt,.txt,regular_file,10647,0.01,2026-05-06T16:40:43,,,,YES,,documentation,
E:\clone\ligo-gw240925-gw250207-release\18600070\cal_env\cal_env\S240925n\C00,cal_env\cal_env\S240925n\C00,cal_env\cal_env\S240925n,C00,,directory,0,0,2026-05-06T16:40:44,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\cal_env\cal_env\S240925n\C01,cal_env\cal_env\S240925n\C01,cal_env\cal_env\S240925n,C01,,directory,0,0,2026-05-06T16:40:45,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\cal_env\cal_env\S240925n\C00\calibration_uncertainty_H1_1411261218.txt,cal_env\cal_env\S240925n\C00\calibration_uncertainty_H1_1411261218.txt,cal_env\cal_env\S240925n\C00,calibration_uncertainty_H1_1411261218.txt,.txt,regular_file,10647,0.01,2026-05-06T16:40:44,,,,YES,,documentation,
E:\clone\ligo-gw240925-gw250207-release\18600070\cal_env\cal_env\S240925n\C01\calibration_uncertainty_H1_1411261218.txt,cal_env\cal_env\S240925n\C01\calibration_uncertainty_H1_1411261218.txt,cal_env\cal_env\S240925n\C01,calibration_uncertainty_H1_1411261218.txt,.txt,regular_file,10647,0.01,2026-05-06T16:40:45,,,,YES,,documentation,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples,combined_samples\combined_samples,combined_samples,combined_samples,,directory,0,0,2026-04-30T18:33:39,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n,combined_samples\combined_samples\S240925n,combined_samples\combined_samples,S240925n,,directory,0,0,2026-05-07T14:25:08,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S250207bg,combined_samples\combined_samples\S250207bg,combined_samples\combined_samples,S250207bg,,directory,0,0,2026-04-30T18:36:10,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\combinedPHM_envcalC00_metafile.hdf5,combined_samples\combined_samples\S240925n\combinedPHM_envcalC00_metafile.hdf5,combined_samples\combined_samples\S240925n,combinedPHM_envcalC00_metafile.hdf5,.hdf5,symlink,-1,-1,,,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_envcalC00_metafile.hdf5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\combinedPHM_envcalC01_metafile.hdf5,combined_samples\combined_samples\S240925n\combinedPHM_envcalC01_metafile.hdf5,combined_samples\combined_samples\S240925n,combinedPHM_envcalC01_metafile.hdf5,.hdf5,symlink,-1,-1,,,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_envcalC01_metafile.hdf5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\combinedPHM_flatcalC00_metafile.hdf5,combined_samples\combined_samples\S240925n\combinedPHM_flatcalC00_metafile.hdf5,combined_samples\combined_samples\S240925n,combinedPHM_flatcalC00_metafile.hdf5,.hdf5,symlink,-1,-1,,,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_flatcalC00_metafile.hdf5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\combinedPHM_nocalC00_metafile.hdf5,combined_samples\combined_samples\S240925n\combinedPHM_nocalC00_metafile.hdf5,combined_samples\combined_samples\S240925n,combinedPHM_nocalC00_metafile.hdf5,.hdf5,symlink,-1,-1,,,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S240925n\combinedPHM_nocalC00_metafile.hdf5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S240925n\online_posterior_samples.h5,combined_samples\combined_samples\S240925n\online_posterior_samples.h5,combined_samples\combined_samples\S240925n,online_posterior_samples.h5,.h5,regular_file,13503280,12.88,2026-05-06T11:06:52,,,,YES,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S250207bg\combinedPHM_cal_metafile.hdf5,combined_samples\combined_samples\S250207bg\combinedPHM_cal_metafile.hdf5,combined_samples\combined_samples\S250207bg,combinedPHM_cal_metafile.hdf5,.hdf5,symlink,-1,-1,,,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_cal_metafile.hdf5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S250207bg\combinedPHM_H1cal_metafile.hdf5,combined_samples\combined_samples\S250207bg\combinedPHM_H1cal_metafile.hdf5,combined_samples\combined_samples\S250207bg,combinedPHM_H1cal_metafile.hdf5,.hdf5,symlink,-1,-1,,,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_H1cal_metafile.hdf5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\combined_samples\combined_samples\S250207bg\combinedPHM_nocal_metafile.hdf5,combined_samples\combined_samples\S250207bg\combinedPHM_nocal_metafile.hdf5,combined_samples\combined_samples\S250207bg,combinedPHM_nocal_metafile.hdf5,.hdf5,symlink,-1,-1,,,\home\sylvia.biscoveanu\gw240925_and_gw250207\data\combined_samples\S250207bg\combinedPHM_nocal_metafile.hdf5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti,fti\fti,fti,fti,,directory,0,0,2026-02-11T10:47:49,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal,fti\fti\S240925n_correct_cal,fti\fti,S240925n_correct_cal,,directory,0,0,2026-02-11T10:47:49,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_no_cal,fti\fti\S240925n_no_cal,fti\fti,S240925n_no_cal,,directory,0,0,2026-02-11T10:47:49,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_wide_cal,fti\fti\S240925n_wide_cal,fti\fti,S240925n_wide_cal,,directory,0,0,2026-02-11T10:47:49,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S250207bg_no_cal,fti\fti\S250207bg_no_cal,fti\fti,S250207bg_no_cal,,directory,0,0,2026-02-11T10:47:49,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S250207bg_wide_cal,fti\fti\S250207bg_wide_cal,fti\fti,S250207bg_wide_cal,,directory,0,0,2026-02-11T10:47:49,,,,,,directory,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchi0.h5,fti\fti\S240925n_correct_cal\fti_dchi0.h5,fti\fti\S240925n_correct_cal,fti_dchi0.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi0-1\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchi1.h5,fti\fti\S240925n_correct_cal\fti_dchi1.h5,fti\fti\S240925n_correct_cal,fti_dchi1.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi1\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchi2.h5,fti\fti\S240925n_correct_cal\fti_dchi2.h5,fti\fti\S240925n_correct_cal,fti_dchi2.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi2\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchi3NS.h5,fti\fti\S240925n_correct_cal\fti_dchi3NS.h5,fti\fti\S240925n_correct_cal,fti_dchi3NS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi3NS\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchi4NS.h5,fti\fti\S240925n_correct_cal\fti_dchi4NS.h5,fti\fti\S240925n_correct_cal,fti_dchi4NS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi4NS\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchi5lNS.h5,fti\fti\S240925n_correct_cal\fti_dchi5lNS.h5,fti\fti\S240925n_correct_cal,fti_dchi5lNS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi5lNS\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchi6l.h5,fti\fti\S240925n_correct_cal\fti_dchi6l.h5,fti\fti\S240925n_correct_cal,fti_dchi6l.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi6l\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchi6NS.h5,fti\fti\S240925n_correct_cal\fti_dchi6NS.h5,fti\fti\S240925n_correct_cal,fti_dchi6NS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi6NS\posterior_samples.h5,False,,,HDF5/H5 data,
E:\clone\ligo-gw240925-gw250207-release\18600070\fti\fti\S240925n_correct_cal\fti_dchi7NS.h5,fti\fti\S240925n_correct_cal\fti_dchi7NS.h5,fti\fti\S240925n_correct_cal,fti_dchi7NS.h5,.h5,symlink,-1,-1,,,\home\tgr.o4\GW240925_GW250207\FTI\asimov\results\S240925n_correct_cal\fti_dchi7NS\posterior_samples.h5,False,,,HDF5/H5 data,
