det,offset_s,bandpower
H1,452.0,1.809290953014673e-39
H1,456.0,3.6498652037315654e-39
H1,460.0,4.6711370556155175e-39
H1,464.0,6.391268806461476e-39
H1,468.0,2.114310466210009e-39
H1,472.0,3.4499544212940606e-39
H1,476.0,4.040547773659833e-39
H1,480.0,3.277272952598797e-39
H1,484.0,7.655452555498548e-39
H1,488.0,7.051738522165025e-39
H1,492.0,1.0624713116824923e-38
H1,496.0,6.082492338866155e-39
H1,500.0,4.60971504927631e-39
H1,504.0,1.7586939336340486e-39
H1,508.0,3.1794521734124034e-39
H1,512.0,2.775970562941953e-39
H1,516.0,7.518297023796077e-39
H1,520.0,3.6586640677489603e-39
H1,524.0,7.551038054743614e-39
H1,528.0,3.711666793261105e-39
H1,532.0,3.1096485199643654e-39
H1,536.0,5.7986424466148463e-39
H1,540.0,4.309598063679586e-39
H1,544.0,2.8413602786241005e-39
H1,548.0,5.2172177166016485e-39
H1,552.0,4.8368321128054154e-39
H1,556.0,4.4990741419562036e-39
H1,560.0,3.3841873427906406e-39
H1,564.0,9.346777285588913e-39
H1,568.0,8.293686996825437e-39
H1,572.0,5.4643147225167447e-39
H1,576.0,1.2165302195383512e-38
H1,580.0,5.8268260334041744e-39
H1,584.0,3.0366170633030084e-39
H1,588.0,3.469523567194645e-39
H1,592.0,2.4081935838098048e-39
H1,596.0,3.46023611694629e-39
H1,600.0,5.835772736265656e-39
H1,604.0,7.325752783585958e-39
H1,608.0,5.026462655385694e-39
H1,612.0,7.609936521318002e-39
H1,616.0,2.2584410226877134e-39
H1,620.0,5.048668949548495e-39
H1,624.0,2.3271912398291228e-39
H1,628.0,1.0734014659376901e-38
H1,632.0,1.7386212850923917e-39
H1,636.0,6.115494153148562e-39
H1,640.0,4.9542243440183756e-39
H1,644.0,5.3217051583928034e-39
H1,648.0,6.59600396789446e-39
H1,652.0,5.321227262302978e-39
H1,656.0,8.200872018067921e-39
H1,660.0,4.857639369800534e-39
H1,664.0,4.811135546822586e-39
H1,668.0,4.515243073578592e-39
H1,672.0,3.3974630448264584e-39
H1,676.0,3.3891548419125843e-39
H1,680.0,6.602484946677638e-39
H1,684.0,5.223300068868917e-39
H1,688.0,5.4775239565144797e-39
H1,692.0,5.524285614606037e-39
H1,696.0,4.931582653838979e-39
H1,700.0,3.947122876112783e-39
