tag,shift_ms,xcorr,coh,is_physical
OFF_m500,-16.828,-1.0000704,0.531426,False
OFF_m500,-16.584,-1.0000752,0.537037,False
OFF_m500,-16.34,-1.0001127,0.542494,False
OFF_m500,-16.096,-1.0001042,0.548335,False
OFF_m500,-15.852,-1.00011,0.551169,False
OFF_m500,-15.608,-1.000137,0.554545,False
OFF_m500,-15.364,-1.0001145,0.557478,False
OFF_m500,-15.12,-1.0001387,0.557093,False
OFF_m500,-14.876,-1.0001591,0.559808,False
OFF_m500,-14.632,-1.000137,0.559036,False
OFF_m500,-14.388,-1.0001618,0.557926,False
OFF_m500,-14.144,-1.0001588,0.558563,False
OFF_m500,-13.9,-1.000156,0.555703,False
OFF_m500,-13.656,-1.0001767,0.556136,False
OFF_m500,-13.412,-1.0001671,0.555976,False
OFF_m500,-13.168,-1.0001784,0.555822,False
OFF_m500,-12.924,-1.0001916,0.558449,False
OFF_m500,-12.68,-1.0001908,0.560763,False
OFF_m500,-12.436,-1.0001944,0.564334,False
OFF_m500,-12.192,-1.0001966,0.567949,False
OFF_m500,-11.948,-1.000198,0.57178,False
OFF_m500,-11.704,-1.0002033,0.575278,False
OFF_m500,-11.46,-1.0002039,0.579118,False
OFF_m500,-11.216,-1.0002101,0.581569,False
OFF_m500,-10.972,-1.0002206,0.584142,False
OFF_m500,-10.728,-1.0002112,0.586711,False
OFF_m500,-10.484,-1.0002165,0.586577,False
OFF_m500,-10.24,-1.0002224,0.588042,False
OFF_m500,-9.996,-1.0002161,0.587342,True
OFF_m500,-9.752,-1.0002259,0.586114,True
OFF_m500,-9.508,-1.0002231,0.585927,True
OFF_m500,-9.264,-1.0002243,0.583372,True
OFF_m500,-9.02,-1.0002374,0.582389,True
OFF_m500,-8.776,-1.000229,0.581546,True
OFF_m500,-8.532,-1.0002315,0.579797,True
OFF_m500,-8.288,-1.0002383,0.58003,True
OFF_m500,-8.044,-1.0002299,0.580486,True
OFF_m500,-7.8,-1.000239,0.581063,True
OFF_m500,-7.556,-1.0002419,0.583861,True
OFF_m500,-7.312,-1.0002367,0.585938,True
OFF_m500,-7.068,-1.0002445,0.588321,True
OFF_m500,-6.824,-1.0002405,0.592196,True
OFF_m500,-6.58,-1.0002385,0.593488,True
OFF_m500,-6.336,-1.0002497,0.596018,True
OFF_m500,-6.092,-1.0002445,0.59827,True
OFF_m500,-5.848,-1.0002463,0.598597,True
OFF_m500,-5.604,-1.0002498,0.600594,True
OFF_m500,-5.36,-1.0002477,0.600669,True
OFF_m500,-5.116,-1.0002519,0.600825,True
OFF_m500,-4.872,-1.0002524,0.601252,True
OFF_m500,-4.628,-1.0002513,0.600098,True
OFF_m500,-4.384,-1.000254,0.59898,True
OFF_m500,-4.14,-1.0002528,0.597189,True
OFF_m500,-3.896,-1.0002542,0.594531,True
OFF_m500,-3.652,-1.0002557,0.592282,True
OFF_m500,-3.408,-1.0002532,0.590023,True
OFF_m500,-3.164,-1.0002564,0.587002,True
OFF_m500,-2.92,-1.0002585,0.586632,True
OFF_m500,-2.676,-1.0002552,0.586193,True
OFF_m500,-2.432,-1.0002577,0.585815,True
OFF_m500,-2.188,-1.0002588,0.588064,True
OFF_m500,-1.944,-1.0002572,0.588972,True
OFF_m500,-1.7,-1.0002583,0.590969,True
OFF_m500,-1.456,-1.0002583,0.593033,True
OFF_m500,-1.212,-1.0002588,0.593954,True
OFF_m500,-0.968,-1.0002594,0.595763,True
OFF_m500,-0.724,-1.0002591,0.596134,True
OFF_m500,-0.48,-1.0002594,0.596076,True
OFF_m500,-0.236,-1.0002591,0.595847,True
OFF_m500,0.008,-1.0002596,0.594774,True
OFF_m500,0.252,-1.0002586,0.592983,True
OFF_m500,0.496,-1.0002584,0.591518,True
OFF_m500,0.74,-1.0002581,0.588941,True
OFF_m500,0.984,-1.0002563,0.586466,True
OFF_m500,1.228,-1.0002587,0.584464,True
OFF_m500,1.472,-1.0002576,0.580553,True
OFF_m500,1.716,-1.000256,0.578458,True
OFF_m500,1.96,-1.0002571,0.575967,True
OFF_m500,2.204,-1.0002534,0.573205,True
OFF_m500,2.448,-1.0002514,0.573117,True
OFF_m500,2.692,-1.0002517,0.571986,True
OFF_m500,2.936,-1.0002478,0.57251,True
OFF_m500,3.18,-1.0002505,0.57322,True
OFF_m500,3.424,-1.0002499,0.572648,True
OFF_m500,3.668,-1.0002433,0.572722,True
OFF_m500,3.912,-1.0002444,0.572386,True
OFF_m500,4.156,-1.0002437,0.571026,True
OFF_m500,4.4,-1.0002366,0.569532,True
OFF_m500,4.644,-1.0002346,0.568252,True
OFF_m500,4.888,-1.0002284,0.565816,True
OFF_m500,5.132,-1.0002325,0.564514,True
OFF_m500,5.376,-1.0002311,0.561269,True
OFF_m500,5.62,-1.0002173,0.558156,True
OFF_m500,5.864,-1.0002173,0.55594,True
OFF_m500,6.108,-1.0002092,0.551569,True
OFF_m500,6.352,-1.0001979,0.548912,True
OFF_m500,6.596,-1.0001948,0.545225,True
OFF_m500,6.84,-1.0001834,0.541581,True
OFF_m500,7.084,-1.0001801,0.539197,True
OFF_m500,7.328,-1.00018,0.535625,True
OFF_m500,7.572,-1.000158,0.532541,True
OFF_m500,7.816,-1.0001433,0.530051,True
OFF_m500,8.06,-1.0001409,0.527625,True
OFF_m500,8.304,-1.0001009,0.524182,True
OFF_m500,8.548,-1.0000926,0.522755,True
OFF_m500,8.792,-1.0000691,0.51859,True
OFF_m500,9.036,-1.0000425,0.515052,True
OFF_m500,9.28,-1.0000638,0.511261,True
OFF_m500,9.524,-0.9999973,0.503826,True
OFF_m500,9.768,-0.9999682,0.500105,True
OFF_m500,10.012,-0.9999488,0.492728,False
OFF_m500,10.256,-0.9998432,0.485797,False
OFF_m500,10.5,-0.9998044,0.480852,False
OFF_m500,10.744,-0.9997091,0.472387,False
OFF_m500,10.988,-0.9996121,0.466531,False
OFF_m500,11.232,-0.9995623,0.457636,False
OFF_m500,11.476,-0.9993975,0.44827,False
OFF_m500,11.72,-0.9991305,0.438748,False
OFF_m500,11.964,-0.9989855,0.429414,False
OFF_m500,12.208,-0.9986856,0.419184,False
OFF_m500,12.452,-0.9981247,0.408257,False
OFF_m500,12.696,-0.9976708,0.398781,False
OFF_m500,12.94,-0.9969293,0.38632,False
